# Format is: alabel, type

WORK, New-gTLD
CASA, New-gTLD
BUDAPEST, New-gTLD
WORLD, New-gTLD
GOOGLE, New-gTLD
FLY, New-gTLD
NEXUS, New-gTLD
CHANNEL, New-gTLD
PROF, New-gTLD
GLE, New-gTLD
ZIP, New-gTLD
CAL, New-gTLD
CHROME, New-gTLD
WME, New-gTLD
PHARMACY, New-gTLD
GMX, New-gTLD
BOO, New-gTLD
DAD, New-gTLD
DAY, New-gTLD
FRL, New-gTLD
ING, New-gTLD
NEW, New-gTLD
MOV, New-gTLD
RSVP, New-gTLD
EAT, New-gTLD
MEME, New-gTLD
YOUTUBE, New-gTLD
HERE, New-gTLD
PROD, New-gTLD
ESQ, New-gTLD
IMMO, New-gTLD
PIZZA, New-gTLD
GMAIL, New-gTLD
GBIZ, New-gTLD
OTSUKA, New-gTLD
BUSINESS, New-gTLD
xn--vhquv, New-gTLD
NETWORK, New-gTLD
CLICK, New-gTLD
DIET, New-gTLD
HOW, New-gTLD
OOO, New-gTLD
UOL, New-gTLD
HELP, New-gTLD
HOSTING, New-gTLD
PROPERTY, New-gTLD
LTDA, New-gTLD
CERN, New-gTLD
CARAVAN, New-gTLD
SCA, New-gTLD
xn--xhq521b, New-gTLD
xn--1qqw23a, New-gTLD
BNPPARIBAS, New-gTLD
RESTAURANT, New-gTLD
CYMRU, New-gTLD
SARL, New-gTLD
GIFTS, New-gTLD
WALES, New-gTLD
TATAR, New-gTLD
TOP, New-gTLD
HEALTHCARE, New-gTLD
REALTOR, New-gTLD
WILLIAMHILL, New-gTLD
ONG, New-gTLD
PRAXI, New-gTLD
YANDEX, New-gTLD
AUCTION, New-gTLD
WHOSWHO, New-gTLD
KRD, New-gTLD
NGO, New-gTLD
NRA, New-gTLD
SPIEGEL, New-gTLD
LACAIXA, New-gTLD
LGBT, New-gTLD
GENT, New-gTLD
NRW, New-gTLD
SCB, New-gTLD
DEALS, New-gTLD
MELBOURNE, New-gTLD
CITY, New-gTLD
SCHMIDT, New-gTLD
CUISINELLA, New-gTLD
CANCERRESEARCH, New-gTLD
DIRECT, New-gTLD
PLACE, New-gTLD
SUZUKI, New-gTLD
ACTIVE, New-gTLD
MINI, New-gTLD
BMW, New-gTLD
OVH, New-gTLD
CAPETOWN, New-gTLD
PHYSIO, New-gTLD
LOTTO, New-gTLD
DURBAN, New-gTLD
GREEN, New-gTLD
JOBURG, New-gTLD
VLAANDEREN, New-gTLD
BRUSSELS, New-gTLD
SURF, New-gTLD
xn--kput3i, New-gTLD
BZH, New-gTLD
SCOT, New-gTLD
ORGANIC, New-gTLD
GLOBAL, New-gTLD
ENGINEER, New-gTLD
NHK, New-gTLD
HAMBURG, New-gTLD
REHAB, New-gTLD
TIROL, New-gTLD
REPUBLICAN, New-gTLD
GIVES, New-gTLD
NAVY, New-gTLD
