# Format is: alabel, ulabel, english, type

SCHWARZ, null, null, New-gTLD
IWC, null, null, New-gTLD
OSAKA, null, null, New-gTLD
SEW, null, null, New-gTLD
GARDEN, null, null, New-gTLD
LIDL, null, null, New-gTLD
DOOSAN, null, null, New-gTLD
SKY, null, null, New-gTLD
CARTIER, null, null, New-gTLD
SAMSUNG, null, null, New-gTLD
xn--czrs0t, 商店, shop, New-gTLD
ADULT, null, null, New-gTLD
PORN, null, null, New-gTLD
TRUST, null, null, New-gTLD
EUROVISION, null, null, New-gTLD
FASHION, null, null, New-gTLD
LATROBE, null, null, New-gTLD
IRISH, null, null, New-gTLD
xn--hxt814e, 网店, webstore, New-gTLD
AQUARELLE, null, null, New-gTLD
MEMORIAL, null, null, New-gTLD
LEGAL, null, null, New-gTLD
MONEY, null, null, New-gTLD
COACH, null, null, New-gTLD
EVERBANK, null, null, New-gTLD
xn--flw351e, 谷歌, Google, New-gTLD
MADRID, null, null, New-gTLD
FIRMDALE, null, null, New-gTLD
xn--qcka1pmc, グーグル, Google, New-gTLD
MORMON, null, null, New-gTLD
LDS, null, null, New-gTLD
PARTY, null, null, New-gTLD
xn--45q11c, 八卦, gossip, New-gTLD
CRICKET, null, null, New-gTLD
SCIENCE, null, null, New-gTLD
REIT, null, null, New-gTLD
ANDROID, null, null, New-gTLD
SYDNEY, null, null, New-gTLD
BLOOMBERG, null, null, New-gTLD
ENERGY, null, null, New-gTLD
DELIVERY, null, null, New-gTLD
TAIPEI, null, null, New-gTLD
EMERCK, null, null, New-gTLD
FLSMIDTH, null, null, New-gTLD
BAND, null, null, New-gTLD
YOGA, null, null, New-gTLD
CRS, null, null, New-gTLD
ABOGADO, null, null, New-gTLD
RIP, null, null, New-gTLD
WEDDING, null, null, New-gTLD
POKER, null, null, New-gTLD
ALSACE, null, null, New-gTLD
ALLFINANZ, null, null, New-gTLD
IBM, null, null, New-gTLD
FORSALE, null, null, New-gTLD
xn--vermgensberatung-pwb, vermögensberatung, financial advice, New-gTLD
xn--vermgensberater-ctb, vermögensberater, financial advisor, New-gTLD
xn--p1acf, русский, Russian, New-gTLD
TUI, null, null, New-gTLD
DVAG, null, null, New-gTLD
POHL, null, null, New-gTLD
WORK, null, null, New-gTLD
CASA, null, null, New-gTLD
BUDAPEST, null, null, New-gTLD
